PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,y
-4.555954377625161,3.517907229150458,-1.2083544063797533,-0.3115232273953109,-0.2763923814238298,0.6890300813722262,0.6606406628750336,-0.7867615583696987,-1.3608653881440014,-1.3764429276709529,-0.009804676842775055,-0.21833782526565323,-0.47
-0.07049749570439331,-0.4244822496437516,-2.8634383270810084,0.35102200653748455,-1.5209397110623164,1.8206483287729525,0.13791732655186756,0.002891427198033669,-0.7358669467364412,0.5357914298962554,-0.7704818785407386,0.8740971827433512,0.99
0.15123298558904855,0.8650058551427485,0.717593741558062,0.43101187162877336,1.2045014132745704,-1.509429422675157,-1.3283813851692476,0.18285206418043462,0.28489062942717236,0.020265059498716296,-1.0939256933293544,-0.7819875871014452,1.36
0.3895681067167828,-0.1449330125886842,-0.2036690640673798,1.037786930552332,0.6612260770821041,-0.4587328348317335,1.0103594632552713,-1.705504258902972,-0.5060894476467249,0.8900645615660032,-0.6219975362688546,-0.2993948199793841,1.43
-2.5206399742881165,-1.069674145085231,0.16719724076638434,0.31680686525674967,0.6469907427242172,0.29692821409502096,0.13847349620634003,0.8724157709455441,-0.2770187435396542,0.4778277290719912,0.008225409293172574,1.4190153273168906,1.03
1.4316955052832436,1.0922864620923163,-2.372347960451859,0.5952983623802441,0.3283482273059724,0.5391317576052017,2.6461884789610934,-0.4813680091798016,-0.15908658617413318,1.3326717566041393,-0.34310857483857204,0.006776428302686106,1.02
-3.563776206713884,1.157897263957262,-0.5866324344029631,1.3018892382925416,-0.8449258625511957,0.9343342145046043,0.447945004547178,0.01006847699653015,0.7755068786345388,-0.17581426341734152,1.6871821831781033,0.2637386817098449,1.43
3.5832339821910684,1.5443087675371208,1.3231385461402514,0.4419064386549549,0.5238766051691701,-1.4375128068020213,-0.27556745917583836,-0.6837241207971105,0.12241303085815236,-1.7346653123089253,-0.23412532568214228,-0.15435359555439326,0.75
0.13711152508911922,-0.8766204006552013,2.3246865906664,-0.6469367839424931,-1.2661608725558282,-0.6649141141977564,-0.6031379106342808,2.1031614231817253,0.2160335206917569,-0.19934724044226293,-0.22923611091073365,0.28047168827632174,1.29
1.3522210980371252,1.5708130225653676,-2.2913845843407965,0.7506759685674222,3.7510530374430098,0.6977359923737277,-0.8897606281022251,-0.16202487680224004,1.0818138222910407,-2.3190525729644134,-0.4156860323852487,-1.583807901636685,1.85
1.9121070647438814,-0.27929003741035374,0.24329352252378875,0.16952280191130972,-0.33015526593517247,1.5918616982473917,0.5487484792675819,0.8450483345211841,-0.9166639026292801,0.9944465259959273,-0.1474184042887383,0.12997180661727467,1.49
4.802970034007096,-1.6008819229140605,-0.45499887093834085,0.33304138669679423,-0.7086817270814193,0.1685333165882191,0.009553388768841717,-1.290791508642649,-0.35341412374673453,1.227980919345186,-0.24824967184057045,-0.25731434834231065,2.1
0.29917487194412296,0.7970803275924171,-1.8281770100636667,-0.5425600465052426,0.2804587666610576,0.12044548139424738,0.036473808909520025,0.19246852753356944,1.6529358150499447,-0.2243497180939118,0.9424204772253121,-0.06893945797602527,1.3
-0.7727276865010767,-1.6379906432891527,1.624517051877356,1.4288319625766375,-0.1459729359237334,-0.4203819677986039,0.8453341540798188,-0.7709869801522993,1.245922097676083,-0.8141835578793136,0.10352083450524742,0.10476046507773377,2.09
0.5137811501666382,-0.577686663750672,0.14030182691820298,0.10482006424444754,-2.84054866658887,0.031715547098836665,-0.5293495285161984,0.8053574533869295,-0.8353606697243089,-0.5066310274898006,0.3571364489416022,0.3695423758378689,1.79
0.6409966850666352,-0.3680301740452924,-1.7380949999794544,0.0026913683072134565,-2.026277771219512,-1.1911633343833123,-0.03345296691786346,0.8944656273599898,0.18314525866749456,-0.028405295236116068,1.1947848760470074,0.16891853879655902,2.03
2.469565515938546,-1.899853318696033,0.0359465045732158,1.4458527854505567,-1.2786725920558255,0.12837955759213346,0.15335503285299226,-0.9265511973601551,0.04094263815139228,0.3263259305986036,-1.0121381800904186,-0.14382980161586642,1.94
-1.429555885711661,2.4870050671483126,1.0169211304944197,0.2232163867879756,0.7826452655766652,0.04082228987808517,-1.4706213593935729,1.7203129036618243,-0.2811614538429633,1.4931354266832495,-0.44781399891350065,-0.530114150043274,0.36
-0.04475719920503734,-0.02282535289335588,-0.26551825878121715,-0.46181727195394556,0.11306577201717712,-0.04335880606841796,-0.5809831219510111,-0.7346986789943368,-0.7000805856754216,0.6323355761822964,-0.5183237118614991,0.18868301479644545,0.76
-0.24629952576362385,0.096911984260608,-0.6029352963130801,-0.5077616238703216,0.2614980241506111,-2.330757322910238,-0.037014622409035774,1.177806935275171,0.022895704069201016,-0.5175747052650385,-1.2225243547517193,-0.6552167409224963,1.37
